image_id,type,x,y,w,h,img_shp_0_init,img_shape1_init,img_shp_0,img_shp_1
0,Type_1,1,45,173,69,3264,2448,192,256
10,Type_1,18,87,144,141,4128,3096,192,256
1013,Type_1,1,1,190,251,3264,2448,192,256
1014,Type_1,1,1,190,253,4128,3096,192,256
1019,Type_1,24,56,150,149,3264,2448,192,256
102,Type_1,26,47,136,160,3264,2448,192,256
1023,Type_1,1,1,190,253,4128,3096,192,256
1024,Type_1,47,102,96,122,3264,2448,192,256
1026,Type_1,12,67,143,115,4128,3096,192,256
1027,Type_1,12,95,88,92,4128,2322,144,256
1033,Type_1,19,47,149,151,4128,3096,192,256
104,Type_1,17,49,158,144,4128,3096,192,256
1040,Type_1,19,54,155,144,3264,2448,192,256
1056,Type_1,29,77,109,113,3264,2448,192,256
1059,Type_1,32,47,142,146,4128,3096,192,256
1061,Type_1,58,91,80,80,3264,2448,192,256
1070,Type_1,4,39,177,176,3264,2448,192,256
1071,Type_1,1,155,190,99,3264,2448,192,256
1077,Type_1,1,21,190,150,4128,3096,192,256
1079,Type_1,1,1,190,182,3264,2448,192,256
109,Type_1,1,1,190,253,3264,2448,192,256
1093,Type_1,28,53,143,142,3264,2448,192,256
1100,Type_1,36,90,100,81,3264,2448,192,256
1105,Type_1,1,1,190,253,4128,3096,192,256
1123,Type_1,1,1,190,253,4128,3096,192,256
1131,Type_1,4,3,187,250,4128,3096,192,256
1134,Type_1,1,1,190,253,4128,3096,192,256
1136,Type_1,13,47,160,170,4128,3096,192,256
1139,Type_1,1,1,190,253,4128,3096,192,256
1154,Type_1,20,54,147,146,3264,2448,192,256
1161,Type_1,23,17,132,187,3264,2448,192,256
1168,Type_1,1,1,190,253,4128,3096,192,256
1174,Type_1,1,1,190,253,3264,2448,192,256
1179,Type_1,38,41,100,118,4128,3096,192,256
1190,Type_1,55,85,89,82,3264,2448,192,256
1194,Type_1,32,60,128,127,4128,3096,192,256
1199,Type_1,34,58,101,100,3264,2448,192,256
12,Type_1,1,1,190,253,4128,3096,192,256
1202,Type_1,18,52,152,154,4160,3120,192,256
1204,Type_1,1,1,190,253,4128,3096,192,256
1220,Type_1,1,38,190,168,4128,3096,192,256
1223,Type_1,1,51,190,133,4128,3096,192,256
1226,Type_1,1,71,155,124,4128,3096,192,256
1229,Type_1,43,58,117,124,4128,3096,192,256
1230,Type_1,12,42,179,169,4128,3096,192,256
1239,Type_1,1,1,190,253,4128,3096,192,256
1245,Type_1,25,84,119,105,4128,3096,192,256
1251,Type_1,1,28,190,192,640,480,192,256
1273,Type_1,25,54,149,154,3264,2448,192,256
1274,Type_1,1,1,190,253,4128,3096,192,256
1279,Type_1,1,1,190,253,3264,2448,192,256
1281,Type_1,14,49,158,136,4128,3096,192,256
1285,Type_1,1,41,169,176,3264,2448,192,256
1288,Type_1,22,51,148,146,3264,2448,192,256
1289,Type_1,22,54,150,142,4128,3096,192,256
129,Type_1,1,1,190,253,4128,3096,192,256
13,Type_1,1,1,190,253,4128,3096,192,256
1308,Type_1,1,1,190,201,4128,3096,192,256
1314,Type_1,33,68,119,117,3264,2448,192,256
1320,Type_1,1,1,99,155,4128,3096,192,256
1324,Type_1,14,65,147,141,4128,3096,192,256
1326,Type_1,17,48,157,149,3264,2448,192,256
1336,Type_1,1,114,190,140,4128,3096,192,256
1339,Type_1,1,31,190,207,4128,3096,192,256
1344,Type_1,1,24,175,208,3264,2448,192,256
1346,Type_1,17,58,156,151,4160,3120,192,256
1370,Type_1,19,49,150,152,3264,2448,192,256
138,Type_1,55,1,136,120,4128,3096,192,256
1384,Type_1,1,1,190,253,4128,3096,192,256
1389,Type_1,1,1,190,253,4128,3096,192,256
139,Type_1,20,52,154,144,4128,3096,192,256
1390,Type_1,21,49,148,152,4128,3096,192,256
1393,Type_1,14,46,165,157,4128,3096,192,256
14,Type_1,65,79,90,84,3264,2448,192,256
1414,Type_1,45,63,115,138,4128,3096,192,256
142,Type_1,35,115,102,122,4128,3096,192,256
1422,Type_1,1,1,190,253,4128,3096,192,256
1427,Type_1,32,55,121,117,4128,3096,192,256
1430,Type_1,1,1,190,253,4128,3096,192,256
1437,Type_1,12,1,124,135,4128,3096,192,256
144,Type_1,29,80,145,118,4128,3096,192,256
1440,Type_1,1,1,190,165,4128,3096,192,256
1456,Type_1,1,1,190,253,4128,3096,192,256
1464,Type_1,34,56,145,136,4128,3096,192,256
1468,Type_1,10,24,181,211,3264,2448,192,256
1473,Type_1,21,52,153,145,4128,3096,192,256
148,Type_1,1,1,190,253,4128,3096,192,256
160,Type_1,1,1,190,253,4128,3096,192,256
171,Type_1,1,1,190,253,4128,3096,192,256
176,Type_1,7,21,184,219,4128,3096,192,256
